Location,Summary,Lattitude,Longitude,Contact,Description
Sultan Qaboos Grand Mosque,"Large, contemporary 2001 mosque",23.58805,58.38288,24505170,"The Sultan Qaboos Grand Mosque is the main mosque in the Sultanate of Oman, located in the capital city of Muscat."
Jebel Shams,Landmark peak for hiking & off-roading,23.23778,57.26362,-,Jebel Shams is a mountain located in northeastern Oman north of Al Hamra town. It is the highest mountain of the Hajar range and the country. The mountain is a popular sightseeing area located 240 km from Muscat.
Wadi Ash Shab,"Canyon, adventure and desert",22.83507,59.23925,-,"Wadi Ash Shab is one of the top highlights of Oman. The narrow canyon is home to crystal clear blue water pools and also a secret waterfall inside a cave.This valley has an archaeological history, found the circular huts of fishermen dating back to the fourth millennium BC were found with indicators of the practice of fishing craft in this era."
Nizwa Fort,1600s fortress with soaring round tower,22.93318,57.53009,90939090,"It was built in the 1650s by the second Ya’rubi ; Imam Sultan Bin Saif Al Ya'rubi,[1] although its underlying structure goes back to the 12th century.[2] It is Oman's most visited national monument."
Bahla Fort,Huge landmark fortress & settlement,22.96444,57.30071,25419770,"Bahla Fort is one of four historic fortresses situated at the foot of the Jebel Akhdar highlands in Oman and the country's only UNESCO-listed fort added in 1987. The fort underwent massive restoration efforts and reopened in 2012. However, the complex lacks in visitor information."
Al Alam Palace,Sultan's palace with a colorful gate,23.616,58.59469,25886865,"The Al Alam Palace is a palace located in Old Muscat, Oman. It was used as a ceremonial palace by Sultan Qaboos bin Said Al Said. Al Alam Palace, one of six sultanic residences of the monarch,[2] has a history of over 200 years, and was built under the watch of Imam Sultan bin Ahmed, the 7th direct grandfather of Sultan Qaboos."
Royal Opera House Muscat,Arts complex with a theater & a garden,23.61415,58.46848,24403300,"Built on the royal orders of Sultan Qaboos of Oman, the Royal Opera House reflects unique contemporary Omani architecture, and has a capacity to accommodate maximum of 1,100 people. The opera house complex consists of a concert theatre, auditorium, formal landscaped gardens, cultural market with retail, luxury restaurants and an art centre for musical, theatrical and operatic productions.[1]"
Bait Al Zubair Museum,Cultural complex with Omani artifacts,23.61439,58.58961,22084700,"The museum has an extensive collection of ancient weapons, including khanjar, household equipments, and costumes (most of which derive from the owner's private collection). Outside the museum is a full-scale Omani village and souk."
"Nakhal Fort, Oman",Spectacular pre-Islamic fortress,23.39465,57.82881,99821975,"The fort houses a museum, operated by the Ministry of Tourism, which has exhibits of historic guns, and the fort also hosts a weekly goat market. It has a history which dates back to the pre-Islamic period when it was originally built by the Sassanids as a bulwark against incursions by Arab tribes."
Al Jalali Fort,16th-century Portuguese sea fort,23.61671,58.59789,-,"The fort was built by the Portuguese under Philip I of Portugal in the 1580s to protect the harbor after Muscat had twice been sacked by Ottoman forces. It fell to Omani forces in 1650. During the civil wars between 1718 and 1747, the fort was twice captured by Persians who had been invited to assist one of the rival Imams. The fort was extensively rebuilt later."
The National Museum of Oman,Museum of Oman's history & culture,23.61162,58.59356,22081500,"The National Museum of the Sultanate of Oman, established by royal decree in 2013 and opened July 30, 2016, is the Sultanate's flagship cultural institution, showcasing the nation’s heritage from the earliest human settlement in the Oman Peninsula some two million years ago through to the present day."
Mutrah Souq,Storied bazaar with diverse goods,23.6193,58.56366,98277478,"Mutrah Souq is one of the oldest markets in Oman, dating back about two hundred years.The market starts at a gate facing the Sea of Oman and Mutrah Corniche and ends with another gate in the city’s old quarters that usually receive the majority of visitors coming from other Omani towns and villages."
Bimmah Sinkhole,Large sinkhole with a wide natural pool,23.036887,59.070086,-,"A lake of turquoise waters, it is 50 m by 70 m wide and approximately 20 m deep. It is only about 600 m away from the sea, between the coastal towns of Ḑibāb and Bamah (Bimmah). The sinkhole was formed by a collapse of the surface layer due to dissolution of the underlying limestone.[2] However, locals used to believe this sinkhole in the shape of a water well was created by a meteorite,[3][4] hence the Arabic name Hawiyyat Najm which means ""the deep well of the (falling) star""."
Mutrah Corniche,Waterfront retreat with paths & views,23.62031,58.56454,-,"Mutrah Corniche is a promenade stretching for 3 kilometres along the waterfront and is lined with restaurants, cafes, and markets. You can see the views of the Oman Port and harbour on one side and the beautiful rock formations of the Hajar Mountains and the Portuguese watchtowers on the other. The northern end of the corniche has a fish market and a dhow harbour. The eastern end of the harbour is dominated by the Mutrah Fort. The Fort is generally closed for visitors. However, its flank can be climbed for more great views of the harbour."
Ras Al Jinz Turtle Reserve,Turtles and nature,22.42442,59.83065,9655 0606,"Located in Ras Al Jinz, the nesting site for green turtles, Ras Al jinz Turtle Reserve offers air-conditioned rooms and cottages with a flat-screen satellite TV. It offers a free private beach area. All accommodations at Ras Al jinz Turtle Reserve features a warm décor. Each cottage is located on a hillock. The private bathroom is fitted with a shower and free toiletries."
Ad Dimaniyat Islands,Protected area with sea turtles & diving,23.8458,58.0905,-,"It is composed of nine islands with a total area of 100 hectares (250 acres). The reserve has a rich natural heritage and is replete with several kinds of coral reefs, including some examples that are quite rare. The island is home to a large number of sea turtles that lay their eggs and nest there, as well as a magnet for migratory and indigenous birds."
Al Mirani Fort,"Large, historic fort on the harbor",23.61727,58.59329,-,"In the 1552 Capture of Muscat, an Ottoman force consisted in 4 galleons, 25 galleys, and 850 troops attacked the city of Muscat.[1] They captured the city and its fort.[2] The recently built Fort Al-Mirani was besieged for 18 days with one piece of Ottoman artillery brought on top of a ridge. The fort was captured and its fortifications destroyed.["
Al Hoota Cave,Rare species in 2.8-mile-long cave,23.03191,57.47324,25 422197,"Al Hoota Cave is almost 2 million years old and the only show cave in the Arabian Peninsula that is 4.5 kilometers long. With a wonderful ecosystem consisting of bats, anthropoids, snails and mollusks, the cave is very well protected and preserved.On your tour around the cave, you'll come across four lakes. In these lakes, the rare blind fish, Garra Barreimiae exist. These fish are only found in Oman, UAE and Bahrain. The tour of the cave lasts 45 minutes and covers 500m of the huge cave."
Qurum Beach,Beach,23.62557,58.47982,9091 7771,"Qurum Beach stretches for four kilometres (2.5 miles) along the Muscat coastline. Watersports like jet skiing, parasailing and kayaking can be booked at the Crowne Plaza end of the beach. You can also book snorkelling and scuba diving excursions here. There’s no great tidal range and waves are small, so bathing is relatively safe at Qurum Beach. There’s a good selection of international refreshment and dining options along the coast road"
