name,summary,latitude,longitude,contact,description
Sultan Qaboos Grand Mosque,"Large, contemporary 2001 mosque",23.5880462,58.3828798,,"The Sultan Qaboos Grand Mosque is the main mosque in the Sultanate of Oman, located in the capital city of Muscat."
Jebel Shams,Landmark peak for hiking & off-roading,23.2377808,57.2636178,,Jebel Shams is a mountain located in northeastern Oman north of Al Hamra town. It is the highest mountain of the Hajar range and the country. The mountain is a popular sightseeing area located 240 km from Muscat.
Wadi Ash Shab,"Canyon, adventure and desert",22.8350665,59.2392487,,"Wadi Ash Shab is one of the top highlights of Oman. The narrow canyon is home to crystal clear blue water pools and also a secret waterfall inside a cave.This valley has an archaeological history, found the circular huts of fishermen dating back to the fourth millennium BC were found with indicators of the practice of fishing craft in this era."
Nizwa Fort,1600s fortress with soaring round tower,22.9331832,57.5300879,,"It was built in the 1650s by the second Ya’rubi ; Imam Sultan Bin Saif Al Ya'rubi,[1] although its underlying structure goes back to the 12th century.[2] It is Oman's most visited national monument. "
Bahla Fort,Huge landmark fortress & settlement,22.9644442,57.3007125,,"Bahla Fort is one of four historic fortresses situated at the foot of the Jebel Akhdar highlands in Oman and the country's only UNESCO-listed fort added in 1987. The fort underwent massive restoration efforts and reopened in 2012. However, the complex lacks in visitor information."
Al Alam Palace,Sultan's palace with a colorful gate,23.6159955,58.5946943,,"The Al Alam Palace (Arabic: ??? ?????? Qa?r al-?Alam, ""Palace of the Flag"")[1] is a palace located in Old Muscat, Oman. It was used as a ceremonial palace by Sultan Qaboos bin Said Al Said. Al Alam Palace, one of six sultanic residences of the monarch,[2] has a history of over 200 years, and was built under the watch of Imam Sultan bin Ahmed, the 7th direct grandfather of Sultan Qaboos. "
Royal Opera House Muscat,Arts complex with a theater & a garden,23.6141522,58.4684831,,"Built on the royal orders of Sultan Qaboos of Oman, the Royal Opera House reflects unique contemporary Omani architecture, and has a capacity to accommodate maximum of 1,100 people. The opera house complex consists of a concert theatre, auditorium, formal landscaped gardens, cultural market with retail, luxury restaurants and an art centre for musical, theatrical and operatic productions.[1]"
Bait Al Zubair Museum,Cultural complex with Omani artifacts,23.6143941,58.5896104,,"The museum has an extensive collection of ancient weapons, including khanjar, household equipments, and costumes (most of which derive from the owner's private collection). Outside the museum is a full-scale Omani village and souk."
"Nakhal Fort, Oman",Spectacular pre-Islamic fortress,23.3946454,57.8288113,,"The fort houses a museum, operated by the Ministry of Tourism, which has exhibits of historic guns, and the fort also hosts a weekly goat market. It has a history which dates back to the pre-Islamic period when it was originally built by the Sassanids as a bulwark against incursions by Arab tribes."
Al Jalali Fort,16th-century Portuguese sea fort,23.6167121,58.59789,,"The fort was built by the Portuguese under Philip I of Portugal in the 1580s to protect the harbor after Muscat had twice been sacked by Ottoman forces. It fell to Omani forces in 1650. During the civil wars between 1718 and 1747, the fort was twice captured by Persians who had been invited to assist one of the rival Imams. The fort was extensively rebuilt later."
